imdb_title_identifier,domestic_gross,international_gross,worldwide_gross,name
tt0010323,8811,0,8811,The Cabinet of Dr. Caligari
tt0012190,9183673,0,9183673,The Four Horsemen of the Apocalypse
tt0012378,488,0,488,The Last Door
tt0012494,12156,0,12156,Destiny
tt0015648,51198,6422,57620,Battleship Potemkin
tt0017136,1236166,113545,1349711,Metropolis
tt0017162,2993,0,2993,Moana
tt0017354,0,0,0,The Sea Beast
tt0018737,53485,3987,57472,Pandora's Box
tt0019254,21877,0,21877,The Passion of Joan of Arc
tt0021577,32712,0,32712,L'Age d'Or
tt0021749,19181,0,19181,City Lights
tt0022100,35566,0,35566,M
tt0023293,25678,8971,34649,The Old Dark House
tt0027478,36438,1564,38002,The Crime of Monsieur Lange
tt0027977,163577,291853,455430,Modern Times
tt0029453,155895,0,155895,Pï¿½ï¿½ï¿½ï¿½ï
tt0029583,184925486,0,184925486,Snow White and the Seven Dwarfs
tt0030643,27389,12234,39623,Port of Shadows
tt0031381,200852579,201500000,402352579,Gone with the Wind
tt0031514,35321,0,35321,Le Jour Se Leve
tt0031885,273641,0,273641,The Rules of the Game
tt0032138,24438411,1142310,25580721,The Wizard of Oz
tt0032145,624643,0,624643,Wuthering Heights
tt0032384,5247,0,5247,Sarajevo
tt0032455,76408097,0,76408097,Fantasia
tt0032910,84254167,37637878,121892045,Pinocchio
tt0033467,1585634,0,1585634,Citizen Kane
tt0033516,66032,174787,240819,Darshan
tt0034167,16361885,0,16361885,Sergeant York
tt0034492,102247150,165200000,267447150,Bambi
tt0034583,4108411,71478,4179889,Casablanca
tt0035423,47121859,28897189,76019048,Kate & Leopold
tt0035429,47214,0,47214,Went the Day Well?
tt0035753,36089,0,36089,Le Corbeau
tt0036868,23650000,0,23650000,The Best Years of Our Lives
tt0037536,21333333,0,21333333,The Bells of St. Mary's
tt0037638,16172,0,16172,Detour
tt0037674,36986,0,36986,Children of Paradise
tt0038348,298718,0,298718,Beauty and the Beast
tt0038417,9719952,0,9719952,Cloak and Dagger
tt0038499,20408163,0,20408163,Duel in the Sun
tt0038824,46041,0,46041,Panique
tt0038969,37459346,0,37459346,Song of the South
tt0039155,9704,0,9704,Antoine and Antoinette
tt0039220,49466,11484,60950,Brighton Rock
tt0039631,64636,0,64636,Monsieur Verdoux
tt0039739,180974,0,180974,Quai des Orfï¿½ï¿½
tt0040338,341121,32064,373185,The Fallen Idol
tt0040481,14276,0,14276,It Always Rains on Sunday
tt0040522,371111,57867,428978,Bicycle Thieves
tt0040682,11818,0,11818,Les Parents Terribles
tt0041154,13254,0,13254,Late Spring
tt0041546,35948,44847,80795,Kind Hearts and Coronets
tt0041800,11321,0,11321,Rendezvous in July
tt0041959,1067364,29754,1097118,The Third Man
tt0042192,63463,0,63463,All About Eve
tt0042332,93141149,0,93141149,Cinderella
tt0042619,47000,0,47000,Diary of a Country Priest
tt0043278,267824,0,267824,An American in Paris
tt0043588,1708839,0,1708839,The Girl on the Bridge
tt0043686,19889,0,19889,Forbidden Games
tt0044000,50512,0,50512,The White Sheik
tt0044103,91930,14930,106860,The Tales of Hoffmann
tt0044602,30590,0,30590,Fanfan la Tulipe
tt0044672,36000000,0,36000000,The Greatest Show on Earth
tt0044741,60239,0,60239,Ikiru
tt0044876,8718,0,8718,The Man in the White Suit
tt0045152,1826108,4826,1830934,Singin' in the Rain
tt0045205,24476,0,24476,Sudden Fear
tt0045251,28980,0,28980,Othello
tt0045274,71816,0,71816,Umberto D.
tt0045793,36416,0,36416,From Here to Eternity
tt0045826,10158,0,10158,Glen or Glenda
tt0045888,23750000,0,23750000,House of Wax
tt0045981,15552,0,15552,When You Read This Letter
tt0046004,29505,0,29505,Little Fugitive
tt0046022,130561,0,130561,The Earrings of Madame De...
tt0046183,87404651,0,87404651,Peter Pan
tt0046247,36000000,0,36000000,The Robe
tt0046451,131548,0,131548,Touchez Pas au Grisbi
tt0046478,11197,13762,24959,Ugetsu
tt0046521,116428,3915,120343,I Vitelloni
tt0046712,8171,0,8171,Anatahan
tt0046816,21750000,0,21750000,The Caine Mutiny
tt0046912,12562,6254,18816,Dial M for Murder
tt0047034,562711,0,562711,Godzilla
tt0047396,36764313,125056,36889369,Rear Window
tt0047469,27723,0,27723,Senso
tt0047478,271841,4124,275965,Seven Samurai
tt0047522,4335968,0,4335968,A Star Is Born
tt0047673,928298,0,928298,White Christmas
tt0047821,68167,0,68167,Le Amiche
tt0047892,15586,0,15586,Bob le Flambeur
tt0048021,517975,3367,521342,Rififi
tt0048280,93602326,0,93602326,Lady and the Tramp
tt0048308,120306,160008,280314,Lola Montï¿½
tt0048960,42000000,0,42000000,Around the World in 80 Days
tt0049261,177909,0,177909,Giant
tt0049833,65500000,0,65500000,The Ten Commandments
tt0049877,18297,0,18297,Four Bags Full
tt0050212,27200000,0,27200000,The Bridge on the River Kwai
tt0050669,8528,0,8528,Inspector Maigret
tt0050783,752045,0,752045,Nights of Cabiria
tt0050800,41802,0,41802,On the Bowery
tt0051378,374671,50983,425654,Elevator to the Gallows
tt0051852,17351,0,17351,The Law
tt0052311,2247465,18799,2266264,Touch of Evil
tt0052357,7311013,22995,7334008,Vertigo
tt0052618,74422622,0,74422622,Ben-Hur
tt0052698,95413,0,95413,Classe Tous Risques
tt0052893,96439,0,96439,Hiroshima Mon Amour
tt0053285,51600000,0,51600000,Sleeping Beauty
tt0053459,58565,0,58565,Eyes Without a Face
tt0053472,363031,0,363031,Breathless
tt0054098,161434,0,161434,The Great Mughal
tt0054130,39236,0,39236,La Notte
tt0054177,24296,0,24296,Le Petit Soldat
tt0054189,0,98030,98030,Purple Noon
tt0054215,32000000,0,32000000,Psycho
tt0054219,1656,0,1656,The Pusher
tt0054242,31539,0,31539,The Passionate Thief
tt0054331,1830650,0,1830650,Spartacus
tt0054357,40356000,0,40356000,Swiss Family Robinson
tt0054389,20615,0,20615,Shoot the Piano Player
tt0054407,34588,0,34588,Le Trou
tt0054632,207917,4977,212894,Last Year at Marienbad
tt0054758,50039,0,50039,Le combat dans l'ï¿½ï
tt0054821,82772,0,82772,Le Doulos
tt0054861,30945,0,30945,The Exiles
tt0055082,72078,0,72078,Lï¿½ï¿½ï¿½ï¿½ï¿½ï¿½
tt0055093,103951,0,103951,Lola
tt0055254,144880014,71000000,215880014,One Hundred and One Dalmatians
tt0055320,9080,0,9080,Il Posto
tt0055572,100665,0,100665,A Woman Is a Woman
tt0055614,44055492,0,44055492,West Side Story
tt0055928,16067035,0,16067035,Dr. No
tt0056085,76729,0,76729,How the West Was Won
tt0056141,6912,0,6912,A Kind of Loving
tt0056172,45306425,0,45306425,Lawrence of Arabia
tt0056210,400019,0,400019,Mafioso
tt0056218,2757256,0,2757256,The Manchurian Candidate
tt0056592,592237,0,592237,To Kill a Mockingbird
tt0056663,24517,0,24517,Vivre Sa Vie
tt0056751,264629,0,264629,Doctor Who
tt0056801,98760,0,98760,8ï¿
tt0056846,85840,0,85840,Bay of Angels
tt0056883,57962,0,57962,The Boom
tt0056937,57777778,0,57777778,Cleopatra
tt0057012,9440272,0,9440272,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
tt0057076,24796765,0,24796765,From Russia with Love
tt0057193,46332858,0,46332858,It's a Mad Mad Mad Mad World
tt0057202,55038,0,55038,Le joli mai
tt0057345,903986,0,903986,Contempt
tt0057413,10878107,0,10878107,The Pink Panther
tt0057490,36463,0,36463,The Servant
tt0057546,12000000,0,12000000,The Sword in the Stone
tt0057869,66660,0,66660,Band of Outsiders
tt0057877,149327,0,149327,Becket
tt0058150,51081062,0,51081062,Goldfinger
tt0058182,1480356,699266,2179622,A Hard Day's Night
tt0058203,35144,0,35144,That Man from Rio
tt0058331,102272727,0,102272727,Mary Poppins
tt0058335,10600,0,10600,Marriage Italian Style
tt0058385,72560711,0,72560711,My Fair Lady
tt0058414,13063,0,13063,Nothing But a Man
tt0058450,28030,8402,36432,The Umbrellas of Cherbourg
tt0058461,14500000,0,14500000,A Fistful of Dollars
tt0058586,12368234,0,12368234,A Shot in the Dark
tt0058604,168100,0,168100,I Am Cuba
tt0058898,47696,0,47696,Alphaville
tt0058946,879794,42117,921911,The Battle of Algiers
tt0059012,126724,0,126724,Chimes at Midnight
